                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3674,                0.93995,                 1.2541,                0.80722,                0.65625,                0.74914,                0.42511,                 1.5908,                  1.309,                 1.4515,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.3688,                0.93757,                  1.258,                0.74492,                0.63886,                0.70626,                0.39821,                 1.6265,                 1.3051,                 1.4453,               0.001307,               0.001307,               0.001307
                     37,                 1.3832,                0.94245,                 1.3314,                0.71861,                0.73438,                0.78047,                0.43273,                  1.611,                 1.1105,                 1.4377,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.3114,                0.85551,                 1.2354,                0.73294,                0.71875,                0.71338,                0.39925,                 1.5771,                 1.1074,                 1.4547,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.3212,                0.89716,                 1.2419,                0.75627,                0.70312,                0.77242,                0.44619,                 1.6182,                 1.1929,                 1.4175,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.3427,                0.85414,                 1.2743,                0.76088,                0.67188,                0.75942,                0.39992,                 1.6773,                 1.3192,                  1.421,              0.0012278,              0.0012278,              0.0012278
                     41,                  1.253,                0.82135,                 1.2265,                0.70754,                   0.75,                0.75323,                0.40734,                 1.6017,                 1.2008,                  1.453,               0.001208,               0.001208,               0.001208
                     42,                 1.3189,                0.85778,                 1.2466,                 0.8153,                0.70312,                0.76607,                0.42088,                 1.6363,                 1.1039,                  1.476,              0.0011882,              0.0011882,              0.0011882
                     43,                  1.266,                0.84165,                 1.2364,                0.82926,                0.76562,                0.80361,                 0.4165,                 1.6914,                 1.0686,                 1.4996,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.2592,                0.79787,                  1.192,                0.87606,                0.66273,                0.79163,                0.44236,                 1.5584,                 1.0595,                 1.4602,              0.0011486,              0.0011486,              0.0011486
                     45,                  1.249,                0.80747,                 1.2095,                0.71433,                0.71875,                0.77064,                0.42492,                 1.5808,                 1.0668,                 1.4146,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.2226,                0.76351,                 1.1652,                  0.726,                0.82802,                0.83523,                0.47347,                 1.5133,                0.98483,                 1.4237,               0.001109,               0.001109,               0.001109
                     47,                 1.1905,                 0.7271,                 1.2018,                0.89034,                0.70312,                0.83639,                0.48028,                 1.5026,                0.93498,                 1.4413,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.2058,                0.72793,                 1.1984,                0.90597,                0.65625,                0.81059,                0.45254,                 1.5842,                0.98087,                 1.4872,              0.0010694,              0.0010694,              0.0010694
                     49,                  1.186,                 0.7807,                 1.1838,                 0.8123,                0.73438,                0.80723,                0.46381,                 1.5529,                0.94477,                 1.4676,              0.0010496,              0.0010496,              0.0010496
                     50,                  1.227,                0.75678,                 1.1791,                 0.7236,                0.81817,                0.82405,                0.44534,                 1.6387,                 1.0289,                 1.5069,              0.0010298,              0.0010298,              0.0010298
                     51,                  1.169,                 0.7492,                 1.1424,                0.77055,                0.67188,                0.76155,                0.46829,                 1.5443,                0.97447,                 1.4778,                0.00101,                0.00101,                0.00101
                     52,                 1.1978,                0.75988,                 1.1782,                 0.7947,                 0.8125,                0.84028,                0.49573,                 1.5113,                0.90463,                 1.4217,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.1415,                0.70936,                 1.1292,                 0.8373,                0.65625,                0.75647,                0.46724,                 1.5149,                 1.0032,                 1.4387,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.1399,                0.71918,                   1.17,                0.87793,                0.71875,                 0.8207,                0.48607,                  1.494,                0.96032,                 1.4281,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.2225,                 0.7414,                  1.214,                0.81255,                0.70312,                0.77381,                0.47953,                 1.5079,                0.98335,                 1.3868,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.1703,                0.74297,                 1.1645,                0.72457,                  0.781,                0.75644,                0.43198,                 1.5705,                 1.0386,                 1.4319,               0.000911,               0.000911,               0.000911
                     57,                 1.1112,                0.66922,                 1.1563,                0.84286,                 0.6875,                0.75674,                 0.4609,                 1.5147,                0.92252,                 1.4261,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.0638,                0.65962,                 1.1382,                0.75084,                0.75341,                0.80213,                0.49581,                 1.5196,                0.99686,                 1.4579,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.1251,                0.68612,                 1.1412,                0.75294,                0.71875,                 0.7593,                0.46149,                 1.5903,                0.98472,                  1.468,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.0572,                0.66279,                 1.1112,                0.66713,                   0.75,                0.75263,                0.45228,                 1.5184,                 1.0336,                 1.3872,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.0852,                0.70807,                 1.1556,                0.76364,                   0.75,                0.79672,                0.47078,                 1.5249,                0.99024,                 1.4187,               0.000812,               0.000812,               0.000812
                     62,                 1.0451,                0.64164,                 1.1361,                0.75884,                0.70312,                0.77734,                0.43746,                 1.6219,                 1.0518,                 1.4446,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.0877,                0.69699,                 1.1372,                0.82248,                0.65162,                0.78283,                0.45724,                 1.5547,                 1.0259,                 1.4147,              0.0007724,              0.0007724,              0.0007724
                     64,                 0.9923,                0.77341,                 1.1125,                0.77271,                 0.6906,                0.77724,                0.43669,                 1.6383,                0.97488,                 1.4356,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.0236,                0.63481,                 1.1056,                0.78592,                0.70312,                0.78058,                0.43628,                 1.6606,                 1.0091,                 1.4514,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.0064,                0.62552,                 1.0915,                0.82813,                0.71875,                0.80749,                0.45223,                 1.6571,                0.95054,                 1.4847,               0.000713,               0.000713,               0.000713
                     67,                 1.0057,                0.61035,                  1.086,                0.78702,                0.73438,                 0.8168,                0.47106,                  1.595,                0.89476,                  1.431,              0.0006932,              0.0006932,              0.0006932
                     68,                 0.9834,                0.60887,                 1.0802,                0.73304,                0.77235,                0.77012,                0.44507,                  1.587,                0.93614,                 1.3958,              0.0006734,              0.0006734,              0.0006734
                     69,                0.99254,                 0.6053,                  1.095,                0.75789,                 0.6875,                 0.7598,                 0.4261,                 1.5777,                0.98383,                  1.412,              0.0006536,              0.0006536,              0.0006536
                     70,                 0.9686,                0.60549,                 1.0953,                 0.6798,                0.72986,                0.78244,                0.46206,                 1.6226,                0.93873,                 1.4846,              0.0006338,              0.0006338,              0.0006338
                     71,                0.96062,                0.59596,                  1.072,                0.81598,                0.73438,                0.82221,                0.45804,                 1.5988,                0.88501,                 1.4388,               0.000614,               0.000614,               0.000614
                     72,                0.94288,                0.55541,                 1.0645,                0.80799,                 0.7891,                0.82365,                 0.4795,                 1.5731,                0.84161,                 1.4262,              0.0005942,              0.0005942,              0.0005942
                     73,                0.95182,                0.58853,                 1.0905,                0.72918,                 0.8125,                 0.8412,                0.50238,                 1.5687,                 0.8423,                 1.4191,              0.0005744,              0.0005744,              0.0005744
                     74,                0.90257,                0.55644,                  1.032,                0.77221,                0.78125,                0.83611,                0.48878,                 1.6039,                0.82628,                 1.4491,              0.0005546,              0.0005546,              0.0005546
                     75,                0.90161,                0.57995,                 1.0523,                0.88012,                0.71875,                0.82707,                0.49118,                 1.5858,                0.79448,                  1.449,              0.0005348,              0.0005348,              0.0005348
                     76,                0.87818,                0.52771,                  1.006,                0.88657,                0.73279,                 0.8251,                0.48663,                 1.4975,                0.84918,                 1.4301,               0.000515,               0.000515,               0.000515
                     77,                0.87166,                 0.5517,                 1.0338,                0.87506,                0.76606,                0.84742,                0.47049,                 1.5227,                 0.8607,                 1.4705,              0.0004952,              0.0004952,              0.0004952
                     78,                0.84041,                0.53608,                  1.025,                0.86434,                0.76562,                0.83539,                0.47917,                 1.5044,                0.89016,                 1.4271,              0.0004754,              0.0004754,              0.0004754
                     79,                0.86495,                0.55249,                 1.0298,                0.77565,                0.75633,                0.79634,                0.46095,                 1.5287,                0.93678,                 1.4258,              0.0004556,              0.0004556,              0.0004556
                     80,                0.86898,                0.54407,                 1.0142,                  0.781,                0.78125,                0.78267,                0.48028,                 1.5096,                0.87583,                 1.4089,              0.0004358,              0.0004358,              0.0004358
                     81,                0.84082,                0.51621,                 1.0036,                0.86892,                 0.6875,                0.77869,                0.47984,                 1.5081,                0.90386,                  1.403,               0.000416,               0.000416,               0.000416
                     82,                 0.8474,                0.51494,                 1.0171,                0.85414,                 0.6875,                0.79317,                0.47016,                  1.564,                0.96194,                 1.4446,              0.0003962,              0.0003962,              0.0003962
                     83,                0.81252,                0.51426,                 1.0232,                0.76424,                0.76562,                0.81616,                0.46895,                 1.5935,                0.99118,                 1.4408,              0.0003764,              0.0003764,              0.0003764
                     84,                 0.7992,                0.51515,                 1.0021,                0.88732,                 0.6875,                0.83865,                0.48974,                 1.5874,                0.93528,                 1.4395,              0.0003566,              0.0003566,              0.0003566
                     85,                0.81276,                0.54513,                 1.0311,                0.74806,                  0.875,                0.86202,                0.50656,                 1.5543,                0.90807,                 1.4338,              0.0003368,              0.0003368,              0.0003368
                     86,                0.78516,                0.49294,                  1.004,                0.80554,                0.82812,                0.84648,                0.48903,                 1.5581,                0.92595,                 1.4565,               0.000317,               0.000317,               0.000317
                     87,                 0.7678,                0.47299,                0.99172,                0.81148,                 0.8125,                0.85861,                0.48822,                 1.5588,                0.91101,                 1.4559,              0.0002972,              0.0002972,              0.0002972
                     88,                0.81594,                 0.4938,                 1.0288,                0.93598,                 0.6854,                0.82821,                0.46822,                 1.5818,                0.95213,                 1.4757,              0.0002774,              0.0002774,              0.0002774
                     89,                0.78603,                0.47265,                0.98642,                0.77761,                 0.8125,                0.84793,                0.47995,                 1.5879,                0.92817,                 1.4865,              0.0002576,              0.0002576,              0.0002576
                     90,                0.79953,                0.50114,                 1.0277,                0.81793,                0.77221,                0.82443,                0.48368,                 1.5656,                0.86827,                 1.4877,              0.0002378,              0.0002378,              0.0002378
                     91,                  0.742,                 0.4797,                0.97283,                0.76525,                0.79688,                0.82494,                0.48085,                 1.5898,                0.85513,                 1.5101,               0.000218,               0.000218,               0.000218
                     92,                 0.7657,                0.47476,                0.96495,                0.75111,                0.82812,                0.82854,                0.46836,                 1.6495,                0.88334,                 1.5498,              0.0001982,              0.0001982,              0.0001982
                     93,                0.73923,                0.45316,                 0.9393,                0.75858,                 0.8125,                0.80303,                0.47732,                 1.6261,                0.92373,                 1.5258,              0.0001784,              0.0001784,              0.0001784
                     94,                 0.7093,                0.45025,                0.94969,                0.72945,                0.80045,                0.80256,                0.48021,                 1.5917,                0.96427,                 1.5098,              0.0001586,              0.0001586,              0.0001586
                     95,                0.75219,                0.45868,                0.96019,                0.76839,                0.76562,                0.80585,                0.49137,                 1.6019,                0.94994,                 1.5207,              0.0001388,              0.0001388,              0.0001388
                     96,                0.68526,                0.42955,                0.93933,                 0.8035,                0.78125,                0.82605,                0.48857,                 1.6015,                0.91206,                 1.5246,               0.000119,               0.000119,               0.000119
                     97,                0.68086,                0.42068,                0.93513,                0.80092,                0.78125,                0.84273,                0.50106,                 1.5694,                0.90406,                  1.513,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.68064,                0.40707,                0.94658,                0.74752,                0.85938,                0.83555,                0.50018,                  1.548,                0.88323,                  1.502,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.63942,                0.38729,                0.92874,                0.73331,                0.84375,                0.83803,                0.49722,                 1.5523,                0.89131,                 1.5036,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.64839,                0.40936,                0.91683,                0.73627,                  0.875,                0.84553,                0.49774,                 1.5673,                0.88701,                 1.5116,               3.98e-05,               3.98e-05,               3.98e-05
